"DataCode","Rectype","RecYear","Date","Watershed","Transect","TrapStation","Species","SpecimenNo1","SpecimenNo2","VoucherNo","RecaptureStatus","Disposition","TotalLength","TailLength","HFLength","EarLength","Weight","Sex","Age","ReprodCondition","Comments"
"csm08",1,2016,"7/21/2016","SuB","E","3","MIOC","219",NA,"","N","R",NA,26,18,"","18","M","Juv","NS",""
"csm08",1,2016,"7/22/2016","SuB","E","3","MIOC","223",NA,"","N","R",NA,37,19,"","48","M","A","S",""
"csm08",1,2016,"7/23/2016","SuB","E","3","MIOC","204",NA,"","Y","R",NA,NA,NA,"","","","","",""
"csm08",1,2016,"7/21/2016","SuB","E","9","MIOC","292",NA,"","N","R",NA,36,22,"","39","M","A","S",""
"csm08",1,2016,"7/22/2016","SuB","E","9","MIOC","260",NA,"","Y","R",NA,NA,NA,"","","","","",""
"csm08",1,2016,"7/23/2016","SuB","E","9","MIOC","292",NA,"","Y","R",NA,NA,NA,"","","","","",""
"csm08",1,2016,"7/21/2016","SuB","E","11","MIOC","260",NA,"","N","R",NA,34,20,"","42","F","A","OSN",""
"csm08",1,2016,"7/23/2016","SuB","E","11","MIOC","225",NA,"","N","R",NA,NA,18,"","31","F","A","CSN",""
"csm08",1,2016,"7/23/2016","SuB","E","15","MIOC","234",NA,"","N","R",NA,33,18,"","41","M","A","NS",""
"csm08",1,2016,"7/20/2016","SuB","E","20","MIOC","300",NA,"","N","R",NA,30,21,"13","33","F","A","CSN",""
"csm08",1,2016,"7/21/2016","SuB","E","20","MIOC","294",NA,"","N","R",NA,34,20,"","40","M","A","NS",""
"csm08",1,2016,"7/22/2016","SuB","E","20","MIOC","300",NA,"","Y","R",NA,NA,NA,"","","","","",""
"csm08",1,2016,"7/23/2016","SuB","E","20","MIOC","300",NA,"","Y","R",NA,NA,NA,"","","","","",""
"csm08",1,2016,"7/23/2016","SuB","W","6","MIOC","",NA,"NK269877","N","V",112,26,19,"10","17","M","JUV","NS",""
"csm08",1,2016,"7/20/2016","SuB","W","7","MIOC","",NA,"NK269868","N","V",142,31,19,"10","39.4","F","A","CEN",""
